No.,GSS Opportunity Name,Main Stakeholder,Business Group / Business Unit,Owner,Quarterly Contract Value,Monthly Contract Value,Expected Start Date,Expected End Date,Updates on the Opportunity,Preferred Location,PMS ID,BG/BU Project PIC,Skill (technical),Skill (Japanese),Status,Actual Total MM,Actual HC,"Actual Start Date
(mm/dd/yy)",Start Month
1,PFBG Business,Fujitsu Limited,Platform Business,Pankajkumar Chaudhary,"57,127.00","19,042.33",22-Sep-25,12-Dec-25,Confirmed,"Chennai, India",237324,Sato Dota,English Language,,12. PO Process,108,9,22-09-25,Sep-25
2,Hoshugi_Manual,FTI,FTI,Pankajkumar Chaudhary,"21,710.00","7,236.67",01-Oct-25,20-Dec-25,Confirmed,"Chennai, India",NA,"Nishizono, Takuya",,Japanese Language,12. PO Process,36,3,01-10-25,Oct-25
3,Hoshugi_PSS,FTI,FTI,Pankajkumar Chaudhary,"10,933.64","10,933.64",10-Oct-25,21-Dec-25,Confirmed,"Chennai, India",NA,"Nishizono, Takuya",,Japanese Language,12. PO Process,24,2,10-10-25,Oct-25
4,PFBG Business_Denab,Platform Business,Platform Business,Pankajkumar Chaudhary,"40,000.00","39,156.72",01-Nov-25,31-Mar-26,Confirmed,"Chennai, India",NA,Sato Dota,,Japanese Language,12. PO Process,36,3,01-11-25,Nov-25
5,MC Premium Support,Fujitsu Limited,Cloud Services,Rajat Jain,"9,545.00","9,545.00",22-Sep-25,31-Mar-26,Confirmed,"Chennai, India",NA,"Nishikawa, Yusuke",,Jaoanese,12. PO Process,24,2,22-Sep-25,Sep-25
6,DC BG,Fujitsu Limited,DC Infra,Rajat Jain,"3,396.00","3,396.00",01-Oct-25,31-Mar-26,Confirmed,"Chennai, India",NA,"Komura, Akio",,Jaoanese,12. PO Process,12,1,01-Oct-25,Oct-25
7,Gen AI & Simplia,Fujitsu Limited,MIS,Pasunooti Veeraiah ,"23,594.00","23,594.00",01-Oct-25,31-Mar-26,Confirmed,"Chennai, India",NA,"Motegi, Masahiro",,Japanese,12. PO Process,39,3.25,01-Oct-25,Oct-25
8,Chat AI,Fujitsu Limited,MIS,Pasunooti Veeraiah ,"32,928.00","23,594.00",10-Oct-25,31-Mar-26,Confirmed,"Chennai, India",NA,"Ishii, Kenji",Python,,12. PO Process,60,5,10-Oct-25,Oct-25
9,SI Department,Fujitsu Limited,Cloud,Pasunooti Veeraiah ,"18,190.00","18,190.00",10-Oct-25,31-Mar-26,Confirmed,"Chennai, India",NA,"Shibuya, Nobuhiro",,Japanese,12. PO Process,24,2,10-Oct-25,Oct-25
10,PFBG,Fujitsu Limited,Platform Business,Pasunooti Veeraiah ,"31,073.00","18,190.00",10-Oct-25,31-Mar-26,Confirmed,"Chennai, India",NA,"Yano, Masafumi",Qlik sense,,12. PO Process,36,3,10-Oct-25,Oct-25
11,Kokunai,Fujitsu Limited,MIS,Pasunooti Veeraiah ,"4,354.00","18,190.00",10-Oct-25,31-Mar-26,Confirmed,"Chennai, India",NA,"Taneda, Kazutomi",,Japanese,12. PO Process,12,1,10-Oct-25,Oct-25
12,Kaigai,FTI,FTI,Pasunooti Veeraiah ,"11,689.00","11,689.00",10-Oct-25,31-Mar-26,Confirmed,"Chennai, India",NA,"Ito, Masafumi",,Japanese,12. PO Process,24,2,10-Oct-25,Oct-25
13,FJ-Cloud,Fujitsu Limited,Cloud,Pasunooti Veeraiah ,"3,000.00","11,689.00",01-Nov-25,31-Mar-26,Confirmed,"Chennai, India",NA,"Fujinaka, Tomokazu",,Japanese,12. PO Process,12,1,21-Dec-25,Dec-25
